Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
August-2004,1561.00,1589.90,1473.10,1574.90,8792948,253108,13486700710.00,2045596,23.26,116.80,13.90
September-2004,1580.00,1712.00,1575.00,1695.20,9796274,235495,16183490103.00,3606194,36.81,137.00,115.20
October-2004,1697.90,1958.00,1679.00,1906.40,10887006,283513,19395007707.00,3724110,34.21,279.00,208.50
November-2004,1908.00,2167.00,1895.00,2148.35,7463532,206449,15074168970.00,2131476,28.56,272.00,240.35
December-2004,2160.00,2160.00,2014.00,2089.00,5812874,181873,12041565405.00,1614682,27.78,146.00,-71.00
January-2005,2099.00,2125.00,1850.00,2067.25,8416581,265294,16732256696.00,2334213,27.73,275.00,-31.75
February-2005,2075.00,2247.00,2018.50,2237.15,6294130,179332,13300873089.00,1571342,24.97,228.50,162.15
March-2005,2230.00,2294.50,2054.00,2252.55,4577925,124561,10109067190.00,1471763,32.15,240.50,22.55
April-2005,2249.00,2270.00,1876.10,1887.35,6564335,180072,13157760072.00,2130015,32.45,393.90,-361.65
May-2005,1890.00,2260.10,1890.00,2250.70,6531344,150246,13672799684.00,2402945,36.79,370.10,360.70
June-2005,2250.00,2413.00,2168.00,2357.65,5356447,142103,12311357356.00,1717777,32.07,245.00,107.65
July-2005,2305.00,2409.00,2122.10,2269.20,5311807,141433,11964108538.00,2069949,38.97,286.90,-35.80
August-2005,2249.00,2389.00,2232.00,2376.25,3462475,83875,7954627356.00,1202668,34.73,157.00,127.25
September-2005,2405.00,2545.00,2350.00,2517.00,3406870,88000,8342452784.00,1308001,38.39,195.00,112.00
October-2005,2532.20,2727.00,2401.00,2523.90,6761034,194412,17483567803.00,2028892,30.01,326.00,-8.30
November-2005,2600.00,2767.00,2498.55,2684.10,4583875,126755,12315552532.00,1552933,33.88,268.45,84.10
December-2005,2695.00,3039.70,2667.00,2996.75,5702692,157367,16572765837.00,2365534,41.48,372.70,301.75
January-2006,3000.00,3075.00,2705.55,2879.70,6351093,181465,18230418428.00,2934083,46.20,369.45,-120.30
February-2006,2890.00,2928.00,2750.00,2828.60,4536869,118157,12821473808.00,2130344,46.96,178.00,-61.40
March-2006,2825.00,3072.00,2775.00,2980.85,5543632,144669,16124094025.00,2371646,42.78,297.00,155.85
April-2006,3006.00,3400.00,2988.00,3177.50,6364377,287241,20229399196.00,2883048,45.30,412.00,171.50
May-2006,3185.00,3284.80,2775.00,2908.05,4360424,186270,13280506470.00,2071102,47.50,509.80,-276.95
June-2006,2950.00,3090.00,2450.00,3077.55,5538709,265433,15470008487.00,2279442,41.15,640.00,127.55
July-2006,3100.00,3400.00,1572.10,1653.90,7413066,315930,16252988313.00,3136413,42.31,1827.90,-1446.10
August-2006,1660.00,1819.00,1641.00,1808.80,5439160,177532,9383290049.00,2406651,44.25,178.00,148.80
September-2006,1807.00,1874.70,1723.00,1847.90,4085075,118092,7411354615.00,2353627,57.62,151.70,40.90
October-2006,1842.00,2151.00,1797.05,2094.80,6712809,206543,13463338946.00,3181563,47.40,353.95,252.80
November-2006,2109.70,2401.00,2060.55,2180.45,5180127,160520,11286651800.00,2626601,50.71,340.45,70.75
December-2006,2200.00,2280.00,2131.30,2240.50,4122430,137480,9065564689.00,2077486,50.39,148.70,40.50
January-2007,2242.00,2324.95,2100.00,2244.45,5654599,210379,12522003856.00,2893564,51.17,224.95,2.45
February-2007,2244.45,2439.00,2053.00,2078.35,4317118,165181,9739034128.00,2212870,51.26,386.00,-166.10
March-2007,2100.00,2183.25,1959.00,2012.60,6554512,302214,13543615570.00,2807130,42.83,224.25,-87.40
April-2007,2000.00,2140.00,1912.00,2049.35,6795665,318848,13833605998.00,2616943,38.51,228.00,49.35
May-2007,2080.00,2099.00,1900.00,1920.25,6744729,266827,13297999123.00,3405569,50.49,199.00,-159.75
June-2007,1935.00,2039.00,1906.00,1929.20,5096888,171666,9985587461.00,2608940,51.19,133.00,-5.80
July-2007,1935.00,2049.00,1905.00,1977.25,7966920,243960,15648997375.00,4286484,53.80,144.00,42.25
August-2007,1965.00,2008.00,1745.15,1855.05,6567257,226288,12365516415.00,3227143,49.14,262.85,-109.95
September-2007,1875.00,1950.00,1748.30,1896.75,5336949,161357,9781058301.00,3113823,58.34,201.70,21.75
October-2007,1900.00,2140.00,1755.00,1839.10,9378471,279544,18302708780.00,5240633,55.88,385.00,-60.90
November-2007,1849.00,1919.90,1511.15,1604.05,6635129,236498,11000597837.00,3762409,56.70,408.75,-244.95
December-2007,1616.00,1840.00,1590.00,1768.40,4117730,140980,7003394547.00,2287904,55.56,250.00,152.40
January-2008,1758.00,1785.00,1212.20,1503.90,6793507,235812,10385459698.00,3601976,53.02,572.80,-254.10
February-2008,1515.00,1685.00,1472.00,1546.85,4789672,168086,7569551454.00,2437245,50.89,213.00,31.85
March-2008,1530.00,1550.00,1301.05,1430.15,4839043,165099,6846610029.00,2186191,45.18,248.95,-99.85
April-2008,1450.00,1809.00,1413.00,1753.75,9883443,303054,15713614761.00,4298585,43.49,396.00,303.75
May-2008,1794.00,1971.90,1698.00,1957.55,7682216,273319,14157211225.00,2567908,33.43,273.90,163.55
June-2008,1956.00,2017.00,1695.00,1734.75,6042527,222500,11289171203.00,1784507,29.53,322.00,-221.25
July-2008,1739.90,1876.00,1484.00,1583.30,10780597,418480,17646084534.00,3560373,33.03,392.00,-156.60
August-2008,1551.00,1750.00,1551.00,1748.50,6144667,204535,10263413752.00,2666188,43.39,199.00,197.50
September-2008,1760.00,1804.70,1300.00,1397.55,6990394,221656,11180397245.00,3069931,43.92,504.70,-362.45
October-2008,1425.00,1469.00,1040.00,1381.65,6954024,259188,9072895240.00,2483180,35.71,429.00,-43.35
November-2008,1413.00,1457.00,1104.00,1240.60,6495433,268271,8036274543.00,1635146,25.17,353.00,-172.40
December-2008,1300.00,1300.00,1065.00,1117.85,6032375,261430,6958748392.00,1496249,24.80,235.00,-182.15
January-2009,1125.00,1318.70,1101.00,1305.50,8345563,247197,10198370276.00,3026760,36.27,217.70,180.50
February-2009,1293.00,1324.95,1146.40,1231.30,4194483,131737,5212951676.00,1426342,34.01,178.55,-61.70
March-2009,1211.30,1398.00,1168.00,1324.10,4198059,137450,5375425906.00,1441199,34.33,230.00,112.80
April-2009,1326.00,1514.90,1275.00,1507.30,4260975,156034,5946079942.00,1093315,25.66,239.90,181.30
May-2009,1515.00,1830.00,1485.05,1602.00,4327592,184300,6770733833.00,1140356,26.35,344.95,87.00
June-2009,1605.00,1854.00,1602.00,1776.90,3710348,147658,6416709449.00,1200309,32.35,252.00,171.90
July-2009,1776.80,2076.95,1635.00,2063.90,5761512,169337,10797691760.00,1604781,27.85,441.95,287.10
August-2009,2060.00,2202.70,1936.00,2132.30,2948591,110763,6099667757.00,1171632,39.74,266.70,72.30
September-2009,2139.80,2414.70,2122.35,2308.40,2721144,107837,6154475234.00,955909,35.13,292.35,168.60
October-2009,2301.00,2352.50,2141.00,2205.40,3539414,116425,7882072240.00,1498504,42.34,211.50,-95.60
November-2009,2195.00,2457.90,2127.10,2383.95,4684006,107400,10557536895.00,2806715,59.92,330.80,188.95
December-2009,2399.00,2614.90,2355.25,2605.25,2805888,114966,6977552216.00,1000544,35.66,259.65,206.25
January-2010,2606.00,2710.00,2406.15,2476.70,3449619,112509,8943693229.00,1319514,38.25,303.85,-129.30
February-2010,2470.00,2630.00,2333.00,2601.60,1956077,81257,4887091327.00,602634,30.81,297.00,131.60
March-2010,2636.00,2821.40,2607.10,2615.10,2173459,88417,5862964529.00,932607,42.91,214.30,-20.90
April-2010,2620.00,2823.80,2560.40,2736.15,3802005,170080,10364360187.00,759510,19.98,263.40,116.15
May-2010,2697.00,2875.00,2510.00,2657.65,2057441,78759,5442935472.00,899622,43.73,365.00,-39.35
June-2010,2655.00,2827.50,2617.05,2788.55,1812206,80183,4936715164.00,648561,35.79,210.45,133.55
July-2010,2801.00,2911.55,2716.00,2788.85,2821046,137718,7872684830.00,1021461,36.21,195.55,-12.15
August-2010,2781.00,2906.80,2666.00,2707.10,1550015,70770,4322747980.00,565785,36.50,240.80,-73.90
September-2010,2707.00,3075.00,2707.00,3041.00,1929074,89756,5698463317.00,688515,35.69,368.00,334.00
October-2010,3044.00,3249.00,2946.55,2969.60,2926489,125573,9020277403.00,728506,24.89,302.45,-74.40
November-2010,2988.10,3111.00,2944.00,3049.45,1612368,73892,4903488489.00,654075,40.57,167.00,61.35
December-2010,3040.00,3454.00,3035.00,3445.00,1967499,87425,6404183936.00,832637,42.32,419.00,405.00
January-2011,3449.00,3493.95,3091.55,3116.30,2439518,153918,8036529263.00,513432,21.05,402.40,-332.70
February-2011,3133.00,3175.10,2973.90,3003.05,1689953,98607,5202185189.00,348996,20.65,201.20,-129.95
March-2011,3035.00,3260.15,2904.10,3236.75,2382349,119665,7287497560.00,780313,32.75,356.05,201.75
April-2011,3225.00,3316.85,2880.00,2905.95,6130813,371713,18415508784.00,1981863,32.33,436.85,-319.05
May-2011,2924.70,2952.95,2757.00,2791.85,2008750,141967,5747672802.00,602421,29.99,195.95,-132.85
June-2011,2794.00,2915.95,2660.55,2907.40,1817129,112421,5119681386.00,777588,42.79,255.40,113.40
July-2011,2930.00,3020.00,2709.00,2766.80,2588630,147262,7240041664.00,754820,29.16,311.00,-163.20
August-2011,2780.00,2819.95,2169.00,2342.80,3596743,205142,8448042453.00,1088445,30.26,650.95,-437.20
September-2011,2370.00,2567.90,2183.05,2533.80,3741340,209697,8881188568.00,945407,25.27,384.85,163.80
October-2011,2483.00,2971.30,2420.00,2875.20,4035782,220685,10783566156.00,1068275,26.47,551.30,392.20
November-2011,2840.10,2874.75,2505.35,2607.55,2729905,144940,7440428901.00,785966,28.79,369.40,-232.55
December-2011,2665.00,2800.00,2635.00,2765.05,2514861,149040,6852848827.00,692372,27.53,165.00,100.05
January-2012,2763.90,2895.30,2555.00,2743.35,3941842,262106,10627378231.00,1112627,28.23,340.30,-20.55
February-2012,2741.70,2990.00,2695.85,2875.40,1752324,118562,4980630340.00,587829,33.55,294.15,133.70
March-2012,2865.00,2915.35,2769.95,2864.95,1734301,85618,4943011972.00,823072,47.46,145.40,-0.05
April-2012,2865.00,2887.70,2200.00,2462.60,6073636,367470,14715754776.00,1974828,32.51,687.70,-402.40
May-2012,2466.00,2498.00,2293.10,2439.85,2463698,131391,5875726209.00,942115,38.24,204.90,-26.15
June-2012,2440.00,2544.40,2345.00,2502.55,2066903,89338,5077598891.00,1045666,50.59,199.40,62.55
July-2012,2497.00,2519.00,2101.65,2227.40,3853791,203114,8695990233.00,1631747,42.34,417.35,-269.60
August-2012,2229.00,2477.80,2186.10,2373.25,1483070,91752,3479420243.00,489183,32.98,291.70,144.25
September-2012,2371.00,2648.65,2310.00,2534.00,1506129,89602,3808078281.00,485238,32.22,338.65,163.00
October-2012,2548.10,2620.00,2307.70,2363.50,3780056,197397,9093139654.00,1334734,35.31,312.30,-184.60
November-2012,2360.00,2477.00,2278.90,2436.60,1931437,74246,4588697569.00,871902,45.14,198.10,76.60
December-2012,2442.00,2453.00,2245.10,2318.50,1518515,89535,3522039775.00,607382,40.00,207.90,-123.50
January-2013,2325.10,2835.00,2302.85,2788.75,4125812,218089,11050983056.00,1460161,35.39,532.15,463.65
February-2013,2789.00,2970.00,2740.00,2906.00,1450250,71606,4122675753.00,733753,50.59,230.00,117.00
March-2013,2890.00,3010.00,2815.00,2889.90,1247340,63708,3634541457.00,659940,52.91,195.00,-0.10
April-2013,2903.15,2995.00,2190.00,2234.45,5751022,364867,13573268648.00,1699150,29.55,805.00,-668.70
May-2013,2238.90,2431.75,2238.50,2407.60,1563351,103226,3674054709.00,719364,46.01,193.25,168.70
June-2013,2524.80,2624.90,2343.00,2493.25,1649998,132752,4076501671.00,491465,29.79,281.90,-31.55
July-2013,2460.00,2989.80,2392.85,2967.15,2750257,231123,7571477516.00,1132238,41.17,596.95,507.15
August-2013,2977.00,3128.90,2923.00,3100.30,1731022,131382,5235665701.00,878431,50.75,205.90,123.30
September-2013,3066.00,3172.70,2980.00,3015.45,1488330,101865,4539347158.00,821934,55.23,192.70,-50.55
October-2013,3022.00,3372.00,2994.00,3308.65,2835387,196148,9085762314.00,1111775,39.21,378.00,286.65
November-2013,3304.90,3447.90,3234.00,3353.50,1722220,73774,5706700767.00,1211573,70.35,213.90,48.60
December-2013,3354.00,3575.00,3310.00,3485.50,1539919,89132,5283063950.00,766672,49.79,265.00,131.50
January-2014,3491.00,3799.00,3417.30,3699.45,2124183,170410,7716958580.00,863530,40.65,381.70,208.45
February-2014,3685.00,3832.10,3540.60,3820.20,1131200,73730,4128554890.00,743645,65.74,291.50,135.20
March-2014,3823.00,3847.20,3217.00,3278.85,1553322,148147,5310358573.00,538757,34.68,630.20,-544.15
April-2014,3285.00,3371.80,3143.00,3177.20,1544090,155876,4998562433.00,868661,56.26,228.80,-107.80
May-2014,3182.50,3337.40,2894.00,2941.50,2616675,250844,7895085976.00,1469574,56.16,443.40,-241.00
June-2014,2950.00,3335.00,2950.00,3246.45,1989877,283571,6264772055.00,701866,35.27,385.00,296.45
July-2014,3246.00,3429.35,3188.20,3365.70,1268184,189218,4184581401.00,391791,30.89,241.15,119.70
August-2014,3360.00,3648.75,3332.00,3594.00,965171,134895,3420061998.00,345952,35.84,316.75,234.00
September-2014,3605.25,3792.95,3556.50,3747.65,1371037,139112,5047462707.00,681709,49.72,236.45,142.40
October-2014,3750.00,4070.00,3600.00,4051.45,2013556,250106,7712605031.00,668556,33.20,470.00,301.45
November-2014,4075.00,4399.00,4034.80,4359.25,1082469,160731,4576928180.00,396774,36.65,364.20,284.25
December-2014,4388.00,4401.00,1898.00,1971.20,7823318,308692,16131172595.00,4542076,58.06,2503.00,-2416.80
January-2015,1967.80,2222.00,1914.10,2142.75,5027583,315680,10292910321.00,2564625,51.01,307.90,174.95
February-2015,2140.00,2335.20,2103.05,2294.85,1851141,184241,4176644647.00,714517,38.60,232.15,154.85
March-2015,2300.00,2313.50,2130.00,2216.60,2303093,160082,5129611126.00,1246547,54.12,183.50,-83.40
April-2015,2209.40,2244.00,1932.65,1942.40,4363097,294903,9055567530.00,1719420,39.41,311.35,-267.00
May-2015,1961.00,2061.00,1910.00,2022.40,4304606,181304,8472856498.00,2846036,66.12,151.00,61.40
June-2015,2030.00,2063.00,968.50,985.35,3660511,138057,5181879843.00,1673269,45.71,1094.50,-1044.65
July-2015,990.00,1127.75,932.55,1078.05,5187880,199022,5371301354.00,1883530,36.31,195.20,88.05
August-2015,1080.00,1186.00,1045.00,1095.20,4063176,174928,4546301818.00,1379236,33.94,141.00,15.20
September-2015,1089.95,1165.35,1052.35,1160.45,2954461,128938,3265262758.00,1034043,35.00,113.00,70.50
October-2015,1169.90,1219.00,1087.10,1136.05,4661304,203312,5298183102.00,1681242,36.07,131.90,-33.85
November-2015,1130.00,1155.60,1012.25,1088.45,2840405,129306,3051941326.00,1131469,39.83,143.35,-41.55
December-2015,1088.50,1110.00,1023.50,1104.55,3107839,116575,3320055345.00,1296692,41.72,86.50,16.05
January-2016,1100.00,1169.70,1031.85,1164.85,4656171,172849,5205147285.00,1865482,40.06,137.85,64.85
February-2016,1170.00,1193.60,1067.00,1083.75,4550793,127359,5031908746.00,2690607,59.12,126.60,-86.25
March-2016,1098.00,1234.65,1089.00,1217.95,3844043,136336,4477084261.00,1020218,26.54,145.65,119.95
April-2016,1212.00,1267.90,1151.40,1210.85,9720735,167134,11509205326.00,7055354,72.58,116.50,-1.15
May-2016,1214.00,1270.00,1171.55,1249.85,2460696,108466,2968136419.00,1157935,47.06,98.45,35.85
June-2016,1241.00,1278.00,1156.00,1170.75,3533314,158718,4243291116.00,1607197,45.49,122.00,-70.25
July-2016,1180.00,1195.05,1056.00,1073.95,9618741,276004,10610859648.00,5682184,59.07,139.05,-106.05
August-2016,1074.00,1094.00,1009.20,1036.80,5318517,176918,5612162315.00,2794080,52.53,84.80,-37.20
September-2016,1036.00,1068.65,1024.00,1038.10,6188665,108725,6447769073.00,4549563,73.51,44.65,2.10
October-2016,1038.10,1080.70,994.00,1002.50,4603095,148407,4742809356.00,2088708,45.38,86.70,-35.60
November-2016,1009.85,1009.85,900.30,975.45,4382558,158784,4182676871.00,2073747,47.32,109.55,-34.40
December-2016,976.00,1020.95,957.90,1010.70,3696839,109798,3671052535.00,1881846,50.90,63.05,34.70
January-2017,1012.00,1045.00,905.00,929.30,7841706,217198,7578540099.00,4307375,54.93,140.00,-82.70
February-2017,921.90,1028.10,906.00,1012.30,6096919,147852,5897976322.00,2957711,48.51,122.10,90.40
March-2017,1014.60,1043.95,999.00,1020.80,3299425,104953,3386195777.00,1316710,39.91,44.95,6.20
April-2017,1027.10,1030.50,910.40,919.40,4931308,153140,4660033463.00,1816953,36.85,120.10,-107.70
May-2017,924.80,1000.00,915.65,976.95,6347010,95167,6073005911.00,2771385,43.66,84.35,52.15
June-2017,969.00,988.70,921.20,935.65,5861354,112102,5568205661.00,2969228,50.66,67.50,-33.35
July-2017,935.00,1021.00,934.40,1011.30,6715573,158565,6576678754.00,3644428,54.27,86.60,76.30
August-2017,1007.00,1028.90,861.50,915.30,23180232,503098,21235761379.00,8456946,36.48,167.40,-91.70
September-2017,915.20,926.20,874.00,898.75,6297736,130837,5655644606.00,3236116,51.39,52.20,-16.45
October-2017,908.00,957.05,897.45,921.65,6121593,127157,5712600131.00,3785369,61.84,59.60,13.65
November-2017,924.00,1019.20,918.00,974.95,5267206,104010,5090728074.00,1811805,34.40,101.20,50.95
December-2017,977.50,1046.10,956.45,1039.30,6331701,104840,6415295978.00,3680484,58.13,89.65,61.80
January-2018,1040.00,1220.00,1006.25,1150.65,9477170,189142,10567760412.00,5330699,56.25,213.75,110.65
February-2018,1150.00,1189.20,1091.70,1174.25,5264507,120467,5969489875.00,2464107,46.81,97.50,24.25
March-2018,1173.45,1195.50,1129.00,1134.40,4534736,74589,5280651710.00,1994388,43.98,66.50,-39.05
April-2018,1135.50,1212.40,1099.00,1199.40,4639272,113266,5343537137.00,1560366,33.63,113.40,63.90
May-2018,1200.00,1248.00,1156.80,1231.90,2977612,98995,3569461832.00,1265942,42.52,91.20,31.90
June-2018,1231.90,1313.45,1212.75,1306.75,2423550,76552,3053846155.00,1114601,45.99,100.70,74.85
July-2018,1313.90,1392.10,1268.85,1365.00,12560899,174542,16886146459.00,7503802,59.74,123.25,51.10
August-2018,1365.85,1453.00,1348.05,1440.00,8301584,99313,11560899034.00,4257010,51.28,104.95,74.15
September-2018,1458.00,1467.00,692.00,727.85,8245516,176134,6456376190.00,3898308,47.28,775.00,-730.15
October-2018,735.10,754.95,630.00,686.25,15959080,258921,11095083343.00,6132984,38.43,124.95,-48.85
November-2018,693.90,693.90,600.65,666.50,13329923,198220,8657583665.00,6186155,46.41,93.25,-27.40
December-2018,670.50,714.00,637.70,659.85,10628577,163288,7132727580.00,4613521,43.41,76.30,-10.65
January-2019,661.00,751.00,651.15,749.60,13753258,208678,9672804215.00,5204902,37.84,99.85,88.60
February-2019,753.80,771.15,723.00,733.95,5579162,101132,4173798630.00,2195517,39.35,48.15,-19.85
March-2019,737.80,747.65,705.65,742.30,12364583,143874,8969475065.00,7753913,62.71,42.00,4.50
April-2019,742.90,773.65,713.00,749.95,11456947,164380,8514944573.00,6659368,58.13,60.65,7.05
May-2019,748.60,748.90,698.40,736.85,11317451,204916,8155684073.00,5907000,52.19,50.50,-11.75
June-2019,734.00,758.90,728.20,731.95,6646294,129184,4948735216.00,3403389,51.21,30.70,-2.05
July-2019,734.10,804.25,706.70,794.00,7527199,204150,5756133955.00,3468191,46.08,97.55,59.90
August-2019,790.80,817.50,760.50,814.60,7325664,213991,5743310676.00,4172027,56.95,57.00,23.80
September-2019,815.00,847.40,742.10,805.30,5928427,121535,4728983598.00,2127109,35.88,105.30,-9.70
October-2019,809.80,823.35,615.00,685.50,25972423,374257,17376696409.00,15958087,61.44,208.35,-124.30
November-2019,689.90,732.50,678.30,695.95,10069662,226611,7102833168.00,4046193,40.18,54.20,6.05
December-2019,702.35,737.70,689.00,731.75,10245209,157440,7285536144.00,6544335,63.88,48.70,29.40
January-2020,733.60,792.55,708.40,776.35,6172448,152783,4703639081.00,2738136,44.36,84.15,42.75
February-2020,775.95,811.20,723.30,731.35,5058366,111085,3945512744.00,3266441,64.58,87.90,-44.60
March-2020,733.00,773.35,511.10,640.30,20824231,412072,13316208559.00,12444729,59.76,262.25,-92.70
April-2020,640.00,719.80,582.35,716.20,8059323,196311,5176660309.00,2515916,31.22,137.45,76.20
May-2020,694.55,709.90,647.00,691.35,5880049,156294,4013640102.00,2194877,37.33,62.90,-3.20
June-2020,696.55,750.90,675.05,735.90,10075342,227586,7169673186.00,4800917,47.65,75.85,39.35
July-2020,736.00,986.00,730.00,966.25,16397506,385410,14573182353.00,5007953,30.54,256.00,230.25
August-2020,962.80,974.55,915.75,928.50,6811112,158093,6487341673.00,3701807,54.35,58.80,-34.30
September-2020,925.00,1037.10,912.60,1008.00,10595786,213547,10344713477.00,5408406,51.04,124.50,83.00
October-2020,1016.00,1185.00,1011.90,1060.60,13508144,350471,15001401032.00,7005005,51.86,173.10,44.60
November-2020,1070.00,1154.90,1051.00,1100.55,10609941,276018,11801695230.00,5417846,51.06,103.90,30.55
December-2020,1105.55,1265.00,1105.55,1255.85,11529589,318218,13524642416.00,5977209,51.84,159.45,150.30
January-2021,1258.95,1392.70,1231.15,1239.65,16450656,365430,21785676745.00,5886799,35.78,161.55,-19.30
February-2021,1246.00,1331.85,1230.00,1252.35,9734554,271527,12462080538.00,5686513,58.42,101.85,6.35
March-2021,1268.00,1406.25,1259.70,1367.75,7602453,265179,10247024558.00,3816418,50.20,146.55,99.75
April-2021,1380.00,1480.00,1320.35,1353.90,10376097,334054,14393089597.00,5751350,55.43,159.65,-26.10
May-2021,1342.00,1415.50,1311.80,1393.65,9713239,264004,13176916391.00,7087777,72.97,103.70,51.65
June-2021,1400.00,1590.85,1362.20,1581.25,11778709,295762,17191723415.00,8386206,71.20,228.65,181.25
July-2021,1582.00,1623.45,1535.00,1610.25,8430714,231869,13211773122.00,6021546,71.42,88.45,28.25
August-2021,1620.00,1755.60,1620.00,1704.15,8370552,214272,14005088724.00,6682618,79.83,135.60,84.15
September-2021,1712.00,1787.50,1658.00,1675.40,6682904,205209,11422451592.00,5014353,75.03,129.50,-36.60
October-2021,1668.00,1848.25,1661.25,1668.60,10640935,264495,18673900370.00,8461635,79.52,187.00,0.60
November-2021,1674.20,1808.65,1669.55,1714.45,3581770,177968,6228338258.00,2057747,57.45,139.10,40.25
December-2021,1715.00,1913.00,1690.00,1889.65,5193486,199605,9280830371.00,3165877,60.96,223.00,174.65
January-2022,1890.00,1953.70,1665.05,1736.70,5916379,412989,10811496968.00,3041873,51.41,288.65,-153.30
February-2022,1763.00,1792.95,1665.00,1717.30,7663498,320899,13137869922.00,2724387,35.55,127.95,-45.70
March-2022,1710.00,1924.00,1681.00,1907.20,8387534,302752,15351542826.00,3457366,41.22,243.00,197.20
April-2022,1894.00,1909.95,1550.40,1567.90,7567806,647064,12605733000.00,4546905,60.08,359.55,-326.10
May-2022,1551.00,1589.25,1399.50,1503.95,11968147,564374,18044259763.00,8507435,71.08,189.75,-47.05
June-2022,1505.15,1555.05,1367.20,1461.20,6375880,348261,9321651478.00,3873520,60.75,187.85,-43.95
July-2022,1453.70,1555.00,1410.90,1549.60,10107973,306088,14765626358.00,7793003,77.10,144.10,95.90
August-2022,1570.00,1631.00,1450.00,1493.20,8787826,256857,13659167683.00,6837691,77.81,181.00,-76.80
September-2022,1465.00,1553.00,1355.50,1413.10,10000625,422053,14161094356.00,6328210,63.28,197.50,-51.90
October-2022,1411.00,1546.20,1387.00,1537.90,15608333,210228,23024067959.00,13747713,88.08,159.20,126.90
November-2022,1550.00,1653.00,1482.00,1632.40,8903167,211377,14020008337.00,7748942,87.04,171.00,82.40
December-2022,1652.00,1672.45,1483.00,1508.70,4887640,351187,7548082646.00,3110745,63.65,189.45,-143.30
January-2023,1513.00,1568.80,1444.00,1533.15,6629009,336425,10063160464.00,4723056,71.25,124.80,20.15
February-2023,1540.00,1620.00,1481.30,1487.30,4259217,249858,6687842223.00,2959017,69.47,138.70,-52.70
March-2023,1492.00,1520.00,1457.10,1471.35,1463676,100140,2178731451.00,1002049,68.46,62.90,-20.65
